jurisdiction,year,month,date,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_jurisdiction,avg_felony_inmate_unsentenced,avg_felony_inmate_sentenced,avg_felony_inmate_total,avg_misdemean_inmate_unsentenced,avg_misdemean_inmate_sentenced,avg_misdemean_inmate_total,day_of_highest_count,highest_inmate_count,mental_heath_case_open_end_month,num_new_mental_health_cases,num_inmate_get_psych_meds,num_inmate_get_mental_heath_bed,num_inmates_seen_sick_call,num_doctor_occurrences,num_offsite_medical_appointment,num_dental_encounters,avg_inmate_get_sick_bed,avg_inmate_not_assign_housing,avg_own_inmate_housed_elsewhere,avg_fed_inmate_housed_contract,avg_state_inmate_housed_contract,avg_local_inmate_housed_contract,avg_inmate_wait_transport_prison,avg_inmate_in_hospital,total_num_persons_booked,tot_pretrial_release_lack_bed,tot_sentenced_release_lack_bed,total_juv_in_custody,adp_of_maximum_security_inmates,adp_of_medium_security_inmates,adp_of_minimum_security_inmates,avg_inmates_get_medical_bed,avg_inmates_get_mental_heath_bed,avg_inmate_need_reg_med_attent,avg_inmates_need_reg_ment_health
El Dorado Sheriff's Department,2003,march,2003-03-01,El Dorado County,06,017,06017,122,11,140,17,290,119,125,244,14,32,46,2003-03-04,309,48,7,48,1,299,82,8,19,2,4,0,1,0,2,8,0,678,125,45,0,NA,NA,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2003,march,2003-03-01,Fresno County,06,019,06019,2224,263,432,77,2996,2379,383,2762,108,126,234,2003-03-25,3065,1390,232,369,49,14740,2352,168,668,30,57,NA,396,38,0,55,2,3228,0,0,0,NA,NA,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2003,march,2003-03-01,Glenn County,06,021,06021,88,12,39,5,144,86,28,114,14,16,30,2003-03-22,158,23,7,21,0,138,24,2,17,0,0,0,25,0,0,0,0,238,0,0,0,NA,NA,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2003,march,2003-03-01,Humboldt County,06,023,06023,218,30,107,14,369,200,67,267,48,54,102,2003-03-02,388,99,67,68,0,320,224,10,77,4,5,NA,NA,NA,NA,11,0,792,0,25,0,NA,NA,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2003,march,2003-03-01,Imperial County,06,025,06025,233,35,161,12,441,210,140,350,58,33,91,2003-03-05,471,12,30,30,3,423,45,14,46,5,2,NA,122,44,0,12,0,789,0,0,0,NA,NA,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2003,march,2003-03-01,Inyo County,06,027,06027,22,7,36,5,70,18,36,54,11,5,16,2003-03-02,82,0,0,9,0,93,38,4,6,0,0,0,0,0,0,22,0,82,0,0,0,NA,NA,NA,NA,NA,NA,NA
Kern Sheriff's Department,2003,march,2003-03-01,Kern County,06,029,06029,1237,188,632,165,2222,1273,351,1624,152,446,598,2003-03-03,2288,345,303,236,61,17728,1350,212,152,18,17,0,190,0,0,79,0,3475,0,274,0,NA,NA,NA,NA,NA,NA,NA
Kings Sheriff's Department,2003,march,2003-03-01,Kings County,06,031,06031,96,17,156,27,296,99,116,215,14,67,81,2003-03-02,310,35,27,35,0,183,72,5,8,0,0,0,0,0,0,NA,NA,689,NA,13,0,NA,NA,NA,NA,NA,NA,NA
Lake Sheriff's Department,2003,march,2003-03-01,Lake County,06,033,06033,112,20,57,13,202,103,34,137,29,36,65,2003-03-06,225,40,36,33,6,364,357,2,5,0,2,0,0,0,0,10,0,457,0,0,0,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2003,march,2003-03-01,Lassen County,06,035,06035,50,14,47,15,126,40,20,60,24,42,66,2003-03-06,132,NA,NA,NA,NA,10.709999999999999,4.78,14.49,8.31,0,1.06,0,0,0,0,1.7,0,168,0,0,0,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2003,march,2003-03-01,Los Angeles County,06,037,06037,9864,1289,4776,615,16544,10160,4172,14332,993,1219,2212,2003-03-05,19578,5301,2902,1980,2755,161670,4008,1725,966,124,330,0,790,1276,0,215,36,13121,758,2658,39,NA,NA,NA,NA,NA,NA,NA
Madera Corrections Department,2003,march,2003-03-01,Madera County,06,039,06039,250,31,77,11,369,235,29,264,46,59,105,2003-03-23,386,0,30,30,0,545,437,3,41,0,33,0,1,10,2,15,0,557,155,150,1,NA,NA,NA,NA,NA,NA,NA
Marin Sheriff's Department,2003,march,2003-03-01,Marin County,06,041,06041,209,36,30,9,284,207,24,231,38,15,53,2003-03-18,301,38,135,19,31,268,803,13,40,38,10,0,14,1,0,29,1,626,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2003,march,2003-03-01,Mariposa County,06,043,06043,18,2,20,3,43,13,10,23,7,13,20,2003-03-22,47,0,0,6,0,73,21,2,4,0,0,0,0,0,0,0,0,80,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2003,march,2003-03-01,Mendocino County,06,045,06045,135,16,75,9,235,106,59,165,45,25,70,2003-03-24,255,107,54,59,0,271,31,9,6,0,8,NA,NA,NA,NA,7,4,473,0,0,0,NA,NA,NA,NA,NA,NA,NA
Merced Sheriff's Department,2003,march,2003-03-01,Merced County,06,047,06047,431,49,127,18,625,454,119,573,26,26,52,2003-03-24,657,64,22,22,22,1361,494,10,43,0,2,NA,NA,NA,0,24,3,900,83,47,0,NA,NA,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2003,march,2003-03-01,Modoc County,06,049,06049,15,2,11,4,32,12,5,17,5,10,15,2003-03-20,44,1,2,4,0,10,1,1,1,0,14,0,0,0,2,4,0,46,0,0,0,NA,NA,NA,NA,NA,NA,NA
Mono Sheriff's Department,2003,march,2003-03-01,Mono County,06,051,06051,8,4,13,4,29,7,10,17,5,7,12,2003-03-01,33,0,0,0,0,35,35,0,0,0,0.4,0,0,0,0.29000000000000004,1.03,0,50,0,0,0,NA,NA,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2003,march,2003-03-01,Monterey County,06,053,06053,501,54,377,67,999,393,130,523,162,314,476,2003-03-31,1021,NA,NA,147,NA,663,440,13,101,8,26,NA,NA,NA,NA,23,0,1225,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
Napa Corrections Department,2003,march,2003-03-01,Napa County,06,055,06055,54,7,153,19,233,22,26,48,39,146,185,2003-03-10,245,32,10,32,1,441,81,8,38,5,6,0,0,0,1,10,0,517,106,0,0,NA,NA,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2003,march,2003-03-01,Nevada County,06,057,06057,71,12,59,9,151,69,47,116,14,21,35,2003-03-16,166,30,10,24,0,268,15,2,16,3,2,NA,1,NA,1,NA,NA,489,0,0,0,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2003,march,2003-03-01,Orange County,06,059,06059,2181,269,2251,356,5057,2010,1517,3527,440,1090,1530,2003-03-15,5223,1630,906,382,76,10613,1980,318,1021,73,152,NA,NA,NA,0,253,5,5387,582,16,0,NA,NA,NA,NA,NA,NA,NA
Santa Ana Police Department,2003,march,2003-03-01,Orange County,06,059,06059,271,23,8,3,305,270,7,277,24,4,28,2003-03-30,358,29,8,29,0,351,41,7,24,0,26,0,228,15,0,0,0,1028,0,0,31,NA,NA,NA,NA,NA,NA,NA
Placer Sheriff's Department,2003,march,2003-03-01,Placer County,06,061,06061,244,27,181,36,488,224,118,342,47,99,146,2003-03-11,505,89,31,51,20,528,306,19,90,3,10,NA,NA,NA,0,7,0,753,85,15,0,NA,NA,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2003,march,2003-03-01,Plumas County,06,063,06063,33,5,15,4,57,27,13,40,11,6,17,2003-03-22,66,0,39,15,0,115,6,6,2,0,57,0,NA,NA,0,3,0,139,1,1,0,NA,NA,NA,NA,NA,NA,NA
Riverside Sheriff's Department,2003,march,2003-03-01,Riverside County,06,065,06065,1949,275,890,131,3245,1191,427,1618,1033,594,1627,2003-03-24,3277,917,294,681,71,1480,736,169,141,38,46,0,0,0,0,NA,0,4370,15,130,0,NA,NA,NA,NA,NA,NA,NA
