jurisdiction,year,quarter,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,num_inmate_assaults_on_staff,money_spent_medication_last_qtr,money_spent_psych_med_last_qtr,avg_length_stay_all_releases,avg_length_stay_pretrial_release,avg_length_stay_sentnced_release,num_inmate_are_3rd_striker,num_inmate_are_2nd_striker,num_unserved_felony_warrants,num_unserved_misdemean_warrants,percent_inmates_illegal_alien
Lake Sheriff's Department,2019,2,Lake County,06,033,06033,NA,43157,8716,NA,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2019,2,Lassen County,06,035,06035,0,9195,1807,17,6,68,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2019,2,Los Angeles County,06,037,06037,NA,7774527,2788580,60,5,62,NA,NA,NA,NA,NA
Madera Corrections Department,2019,2,Madera County,06,039,06039,5,44085,3206,37,4,96,NA,NA,NA,NA,NA
Marin Sheriff's Department,2019,2,Marin County,06,041,06041,NA,68675,15095,19,14,43,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2019,2,Mariposa County,06,043,06043,0,NA,2190,13.9,8.5,33.1,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2019,2,Mendocino County,06,045,06045,6,35121,24354,NA,NA,NA,NA,NA,NA,NA,NA
Merced Sheriff's Department,2019,2,Merced County,06,047,06047,0,94046,38625,30.6,23.9,39.5,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2019,2,Modoc County,06,049,06049,2,10116,7214,132,94,38,NA,NA,NA,NA,NA
Mono Sheriff's Department,2019,2,Mono County,06,051,06051,0,21817,NA,123,92,31,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2019,2,Monterey County,06,053,06053,0,45193,10013,25.7,21.3,31.6,NA,NA,NA,NA,NA
Napa Corrections Department,2019,2,Napa County,06,055,06055,9,53101,20545,20,24,22,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2019,2,Nevada County,06,057,06057,NA,35094,5367,33.3,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2019,2,Orange County,06,059,06059,18,1402946,284905,45.7,1.3,50.7,NA,NA,NA,NA,NA
Placer Sheriff's Department,2019,2,Placer County,06,061,06061,1,152998,26635,29.04,17.06,74.22,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2019,2,Plumas County,06,063,06063,0,26702,6461,13.2,9.3,24.4,NA,NA,NA,NA,NA
